name,lon,lat,area_ha,reason,wltype,url
"Болотная система «Морские мхи»","36.5","66.33333","13000","1a, 1c, 2b","A, B, D, H, O, U, Xf","http://www.fesk.ru/wetlands/39.html"
"Окрестности деревни Нюхча (верховые болота и побережье Белого моря)","36.25","63.91667","20000","1a, 1c, 2a","A, B, H, M, Ts, U, Xf","http://www.fesk.ru/wetlands/40.html"
"Болото «Кольца»","44.0","66.0","71276","1b, 1c, 2b, 3b","U","http://www.fesk.ru/wetlands/41.html"
"Усинское болото","57.33333","65.75","139190","1a, 1c, 2b, 3b","U","http://www.fesk.ru/wetlands/42.html"
"Мартюшевское болото","56.35","62.65","8700","1b, 1c, 2b","U","http://www.fesk.ru/wetlands/43.html"
"Болото Важинское","33.5","61.33333","15000","1a, 2c, 3","O, U, Xf","http://www.fesk.ru/wetlands/44.html"
"Раковые озёра","29.41667","60.5","5990","3b","U, Tr","http://www.fesk.ru/wetlands/45.html"
"Лахтинское болото","30.11667","60.0","800","1c, 2a, 3a","U","http://www.fesk.ru/wetlands/46.html"
"Болото Чистый Мох","32.16667","59.36667","8500","1a, 1c, 2b, 3b","U","http://www.fesk.ru/wetlands/47.html"
"Болото Целау","20.33333","54.5","2336","1b, 1c, 2b","U","http://www.fesk.ru/wetlands/48.html"
"Полистово-Ловатское болото","30.66667","57.11667","134433","1a, 1c, 2b, 3b","U","http://www.fesk.ru/wetlands/49.html"
"Спасские мхи","32.5","58.83333","57000","1a, 1c, 2a","U","http://www.fesk.ru/wetlands/50.html"
"Игоревские мхи","34.66667","58.75","18000","1b, 1c, 2a","U","http://www.fesk.ru/wetlands/51.html"
"Никандровское болото","29.0","57.5","10000","1d, 2a, 2d","U","http://www.fesk.ru/wetlands/52.html"
"Староизборские болота","27.08333","57.0","800","1d, 2a, 2b","U","http://www.fesk.ru/wetlands/53.html"
"Жарковско-Свитская болотная система","32.5","55.75","130000","1a, 1c, 2b, 2c, 3b","Xp, U, Tp, O, M","http://www.fesk.ru/wetlands/54.html"
"Верхневолжский водно-болотный комплекс","33.08333","57.18889","250000","1a, 1c, 2b, 2c, 3b","Xp, U, Tp, O, M","http://www.fesk.ru/wetlands/55.html"
"Оршинский мох","36.74389","56.79361","43200","1a, 1c, 2b, 2c, 3b","Xp, U, Tp, O, M","http://www.fesk.ru/wetlands/56.html"
"Пыханское болото","39.75","58.5","8647","1d, 2a, 2b","Xp","http://www.fesk.ru/wetlands/57.html"
"Болото Сомино","38.58333","56.58333","2371","1d, 1c, 2a","Xp","http://www.fesk.ru/wetlands/58.html"
